bid,mode,keep_rate,estimator,n_models,n_dropped,mean_bias,lo95,hi95,ci_lo,ci_hi
bfcl,features_and_score,0.6,naive,93,0,-0.019496772,-0.024668878177180886,-0.014491374674253167,-0.01966190397997789,-0.01933164089659758
bfcl,features_and_score,0.6,irt,93,0,-0.006450593,-0.012422193842940032,-0.0008279573536128739,-0.0066350489457090355,-0.006266137066022589
bfcl,features_and_score,0.6,ipw,93,0,-0.12224599,-0.12440904639661313,-0.12024609092622995,-0.12231072974232753,-0.12218124973746221
bfcl,features_and_score,0.6,dr,93,0,-0.047421798,-0.05135751962661743,-0.043233844079077245,-0.04755358840137342,-0.04729000781864306
bfcl,features_and_score,0.7,naive,93,0,-0.015169035,-0.01825940953567624,-0.012242824584245682,-0.015266587393585301,-0.015071482030447864
bfcl,features_and_score,0.7,irt,93,0,0.019816231,0.01706170728430152,0.022576938616111875,0.019728256562180215,0.01990420540290386
bfcl,features_and_score,0.7,ipw,93,0,-0.080232576,-0.08229937888681889,-0.07811532355844975,-0.0803011595722684,-0.08016399149928007
bfcl,features_and_score,0.7,dr,93,0,-0.03308301,-0.03562880354002118,-0.030652785720303655,-0.03316252523525328,-0.033003495694560105
bfcl,features_and_score,0.8,naive,93,0,-0.009911277,-0.01133132299873978,-0.008411954320035876,-0.00995693854036569,-0.009865616122457987
bfcl,features_and_score,0.8,irt,93,0,0.033838235,0.0320973907597363,0.03555945809930563,0.03378231149412938,0.03389415818951778
bfcl,features_and_score,0.8,ipw,93,0,-0.027187191,-0.02912253444083035,-0.025383287528529763,-0.02724772611460591,-0.027126655785227768
bfcl,features_and_score,0.8,dr,93,0,-0.024943026,-0.026488071633502842,-0.023446486983448266,-0.024991831912665605,-0.0248942196527431
bfcl,features_and_score,0.9,naive,93,0,-0.004603141,-0.005158096901141107,-0.004043923469725996,-0.0046215707776991735,-0.004584711197212516
bfcl,features_and_score,0.9,irt,93,0,0.045232005,0.04413891304284334,0.04647852405905724,0.04519436290859999,0.04526964792609392
bfcl,features_and_score,0.9,ipw,93,0,0.0088466145,0.007904162956401705,0.009780676756054162,0.008817206487916245,0.008876022531725631
bfcl,features_and_score,0.9,dr,93,0,-0.015303043,-0.016093665827065708,-0.014528179285116493,-0.015328774876695822,-0.015277310557860186
matharena,features_only,0.5,naive,85,3,-0.012278977,-0.02251156521961093,-0.0024165900715161118,-0.012599930586720428,-0.011958023113702813
matharena,features_only,0.5,irt,85,3,-0.0025091406,-0.008674785867333413,0.003506712196394801,-0.002707224273792049,-0.0023110570109276564
matharena,features_only,0.5,ipw,85,3,-0.0007774424,-0.015278732986189425,0.014416368491947652,-0.0012528469120679248,-0.00030203791935315237
matharena,features_only,0.5,dr,85,3,-0.0012274027,-0.007829339848831296,0.005195352330338209,-0.0014381961645107228,-0.0010166092562009137
matharena,features_only,0.6,naive,85,3,-0.010628229,-0.019379233289510012,-0.002818581514293329,-0.01088875310557951,-0.010367704908670292
matharena,features_only,0.6,irt,85,3,-0.0011943884,-0.006335142650641501,0.003710929653607307,-0.0013516882291503517,-0.0010370885164968403
matharena,features_only,0.6,ipw,85,3,-0.0001657008,-0.011492415191605687,0.011709258425980806,-0.0005341339708534365,0.00020273237873290827
matharena,features_only,0.6,dr,85,3,-0.00063965336,-0.006135299883317203,0.004518191819079219,-0.0008054463434567967,-0.00047386037096620415
matharena,features_only,0.7,naive,85,3,-0.008382124,-0.014984788629226387,-0.0016920973808737475,-0.008585838514244557,-0.008178409275734424
