benchmark_id,mode,keep_rate,naive_bias,naive_bias_lo,naive_bias_hi,naive_rmse,naive_rank_corr,irt_bias,irt_bias_lo,irt_bias_hi,irt_rmse,irt_rank_corr,ipw_bias,ipw_bias_lo,ipw_bias_hi,ipw_rmse,ipw_rank_corr,dr_bias,dr_bias_lo,dr_bias_hi,dr_rmse,dr_rank_corr
matharena,features_only,0.5,-0.016992768798680866,-0.02721716231392587,-0.00840466387295986,0.04835197064353405,0.9840235299185807,-0.014096351225320674,-0.026944282085647003,-0.0032195234517530483,0.06069599603936645,0.9732747461761313,-0.027843849552602204,-0.06680275847307057,0.004031283407109769,0.167797838148279,0.8039910731020871,-0.013902898369176781,-0.026613553633495476,-0.0033019021300365573,0.0611670417629863,0.9720859787078538
matharena,features_only,0.6,-0.011268532166586203,-0.02150753309676314,-0.0024379902409718338,0.045588180921284575,0.9851913014281364,-0.008457666510366835,-0.01891783057151108,-0.00013146325310861746,0.04777625030348019,0.9833044213344135,-0.02636344883463397,-0.06486582239954246,0.002037597306337251,0.16127591184160842,0.8511648188016818,-0.007444072203881102,-0.018139541783149714,0.0010571616024115213,0.04797524666394138,0.983418895238766
matharena,features_only,0.7,-0.008761154305746501,-0.015393975272442845,-0.0018546901370302448,0.032544092493475715,0.9862533091034664,-0.0010643233720408964,-0.009152437503788944,0.005970387535382372,0.03837246183271411,0.9849731648028124,0.001357578585697083,-0.02055059130261605,0.020984316021446413,0.10601824875026429,0.9187235279096183,-0.0007254968886503351,-0.009251079805664386,0.006908188510523391,0.03929505459297054,0.9828598097195125
matharena,features_only,0.8,-0.0034021707144619405,-0.007854705675901182,0.0012056215933855916,0.022499218518985824,0.9950243769080057,0.0024848164651881566,-0.0048806075250137256,0.007800799934193492,0.033729811401720544,0.988477811982618,-0.0011839466259742906,-0.02071990091619277,0.01567547332157775,0.08989630647863535,0.9561963130852122,-0.0016567703724599237,-0.008973653158861155,0.003430558389356353,0.033037488437779976,0.9892350975541337
matharena,features_only,0.9,-0.002248984402923406,-0.006424586285285695,0.0015425193359026278,0.0198064005753024,0.9946735559698825,0.00805105817694725,0.0017925656940364705,0.013286571819546884,0.03023833774122983,0.9911547284214645,-0.0013659630345142504,-0.022045232982174888,0.014357195125540772,0.08824177659022199,0.9385850207243799,-0.00303740806859332,-0.00908711949911488,0.0015128612694768405,0.026564610700659005,0.9931448044582386
matharena,features_and_score,0.5,0.052046829368919134,0.04034624973345282,0.06360018805578528,0.07513527953271674,0.9623104767353744,0.025636091996024003,0.00911203068735631,0.03913794404331631,0.07860720040294109,0.9533386754488699,0.03290962607049499,-0.010020052775195225,0.07259223422051489,0.19304692873800816,0.7762596512522963,0.027232991501403004,0.010616214676325167,0.04103612416486035,0.07967475203128145,0.953004059420762
matharena,features_and_score,0.6,0.04786899609162527,0.03830940360751222,0.05871010528384324,0.06932198437291734,0.9616130624165112,0.02232914724663715,0.010239758349714315,0.032113189427342474,0.05863731567286345,0.9655433547898523,0.02498206236762843,-0.015994930991563468,0.05927862165144833,0.1807464014292406,0.8033040245479067,0.02521825382597048,0.013401152124204655,0.035674962534047,0.06122381491370313,0.962593450331534
matharena,features_and_score,0.7,0.035093735004666934,0.028067697940372623,0.042719812906715414,0.048099416692992336,0.9843953431326301,0.016609915841399925,0.00353997766341391,0.026968155896106922,0.058359515192794996,0.969461884592693,0.029740174697043365,-0.0006972779028722362,0.058798141992021824,0.14126579674422932,0.907701994152879,0.01931933053565198,0.006187456666372196,0.029838766274633274,0.05982572913824824,0.9697348608261493
matharena,features_and_score,0.8,0.028378972012935013,0.022788559352101268,0.0353733619573344,0.04256951098179808,0.9705519180311343,0.010747636774216186,0.002217835033397106,0.01733292310276407,0.041754005471207674,0.9774971711956391,0.02769748092542262,0.006879823476842549,0.045887578386947195,0.10002252430449424,0.9441413834642226,0.0157355950988872,0.006858018105844392,0.022419082188588728,0.04338483882475683,0.9814068780997437
matharena,features_and_score,0.9,0.015173758112493602,0.010911242030132776,0.019786446163666316,0.025264806176007345,0.9943637200462263,0.01631508564407175,0.009980618952646514,0.021370411852628664,0.03354093203325679,0.9902037186339795,0.011509800472284835,-0.009024935349821584,0.026010353540068754,0.08736645917325025,0.957059266410893,0.007383121613388264,0.001080420551810051,0.012232696432068759,0.02916418033923368,0.9911899510061861
